,State,District,notes,active,confirmed,migratedother,deceased,recovered,delta,delta_confirmed,delta_deceased,delta_recovered
166,Goa,North Goa,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,1639,2668,0,65,964,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
167,Goa,South Goa,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,1978,3511,0,126,1407,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
168,Goa,Unknown,,-2643,165809,0,2972,165480,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
169,Gujarat,Other State,,0,162,0,3,159,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
170,Gujarat,Ahmedabad,,61,238022,0,3411,234550,"{'confirmed': 7, 'deceased': 0, 'recovered': 7}",7,0,7
171,Gujarat,Amreli,,4,10806,0,102,10700,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
172,Gujarat,Anand,,5,9623,0,49,9569,"{'confirmed': 0, 'deceased': 0, 'recovered': 4}",0,0,4
173,Gujarat,Aravalli,,0,5183,0,78,5105,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
174,Gujarat,Banaskantha,,0,13631,0,162,13469,"{'confirmed': 0, 'deceased': 0, 'recovered': 1}",0,0,1
175,Gujarat,Bharuch,,3,11425,0,118,11304,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
176,Gujarat,Bhavnagar,,4,21413,0,300,21109,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
177,Gujarat,Botad,,1,2218,0,42,2175,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
178,Gujarat,Chhota Udaipur,,0,3395,0,38,3357,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
179,Gujarat,Dahod,,2,9943,0,38,9903,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
180,Gujarat,Dang,,0,864,0,18,846,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
181,Gujarat,Devbhumi Dwarka,,0,4172,0,82,4090,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
